"Refs","Value","Footprint","Qty","DNP"
"C1","100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C2","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"D1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D2","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D3","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D4","LED_RED","LED_THT:LED_D3.0mm","1",""
"D5","LED_GRN","LED_THT:LED_D3.0mm","1",""
"J1","5V_IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","1",""
"J2","RY1_OUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","1",""
"J3","RY2_OUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","1",""
"J4","SENSOR","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal","1",""
"Q1","2N3904","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q2","2N3904","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RY1","SRD-05VDC","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","1",""
"RY2","SRD-05VDC","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","1",""
"U1","Bluepill_L","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
"U2","Bluepill_R","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
